Song Title,Streams,Highest Charting Position,Number of Times Charted,Artist,Artist Followers,Genre,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence
Beggin',"48,633,449",1,8,Måneskin,3377762,"['indie rock italiano', 'italian pop']",08-12-2017,100,0.714,0.800,-4.808,0.050,0.127,0.359,134.002,0.589
STAY (with Justin Bieber),"47,248,719",2,3,The Kid LAROI,2230022,['australian hip hop'],09-07-2021,99,0.591,0.764,-5.484,0.048,0.038,0.103,169.928,0.478
good 4 u,"40,162,559",1,11,Olivia Rodrigo,6266514,['pop'],21-05-2021,99,0.563,0.664,-5.044,0.154,0.335,0.085,166.928,0.688
Bad Habits,"37,799,456",3,5,Ed Sheeran,83293380,"['pop', 'uk pop']",25-06-2021,98,0.808,0.897,-3.712,0.035,0.047,0.364,126.026,0.591
INDUSTRY BABY (feat. Jack Harlow),"33,948,454",5,1,Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",23-07-2021,96,0.736,0.704,-7.409,0.062,0.020,0.050,149.995,0.894
MONTERO (Call Me By Your Name),"30,071,134",1,18,Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",31-03-2021,97,0.610,0.508,-6.682,0.152,0.297,0.384,178.818,0.758
Kiss Me More (feat. SZA),"29,356,736",3,16,Doja Cat,8640063,"['dance pop', 'pop']",09-04-2021,94,0.762,0.701,-3.541,0.029,0.235,0.123,110.968,0.742
Intentions,"28,509,534",7,1,"Justin Bieber, Quavo",48544923,"['canadian pop', 'pop', 'post-teen pop']",14-02-2020,77,0.806,0.546,-6.637,0.058,0.300,0.102,147.986,0.874
Todo De Ti,"26,951,613",2,10,Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']",20-05-2021,95,0.780,0.718,-3.605,0.051,0.310,0.093,127.949,0.342
Yonaguni,"25,030,128",3,8,Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']",04-06-2021,96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,0.440
